jid,sk_gap,alignn_gap,dft_gap
Interface-JVASP-1174_JVASP-105410_film_miller_0_0_1_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.25_-0.25_vasp,0.011028,0.19184809923171997,0.0
Interface-JVASP-1002_JVASP-1327_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_0.25_0.45_vasp,1.685972,1.0115671157836914,0.8819
Interface-JVASP-1002_JVASP-1327_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_0.25_0.45_vasp,1.685972,1.0115671157836914,0.8819
Interface-JVASP-1002_JVASP-39_film_miller_1_0_0_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.4_0.5_vasp,0.001271,0.669182538986206,0.0
Interface-JVASP-1002_JVASP-816_film_miller_0_0_1_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.1_-0.35_vasp,0.003809,0.12213577330112457,0.0
Interface-JVASP-1174_JVASP-1183_film_miller_0_0_1_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.25_-0.25_vasp,0.001081,0.3119567334651947,0.0
Interface-JVASP-1174_JVASP-1372_film_miller_0_0_1_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.25_-0.25_vasp,0.001829,0.6149880886077881,0.0
Interface-JVASP-1327_JVASP-105410_film_miller_0_0_1_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.25_0.25_vasp,0.011723,0.3730805814266205,0.0
Interface-JVASP-1327_JVASP-1372_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_0.3_0.15_vasp,2.867286,1.655393123626709,1.3398
Interface-JVASP-1327_JVASP-8003_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_0.05_0.4_vasp,3.905032,1.4864976406097412,1.3542
Interface-JVASP-1372_JVASP-1174_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.05_-0.4_vasp,1.813477,0.8532755374908447,0.617
Interface-JVASP-1372_JVASP-1198_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_0.0_-0.25_vasp,1.859926,1.1627165079116821,0.721
Interface-JVASP-1408_JVASP-1186_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.05_-0.2_vasp,0.04809,0.25907331705093384,0.0285
Interface-JVASP-30_JVASP-1372_film_miller_0_0_1_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.2_-0.05_vasp,0.002157,0.6209641695022583,0.0
Interface-JVASP-39_JVASP-1372_film_miller_0_0_1_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.2_-0.05_vasp,0.000226,1.1368153095245361,0.0
Interface-JVASP-39_JVASP-8118_film_miller_0_0_1_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_0.35_0.35_vasp,1.441719,2.559929370880127,0.0
Interface-JVASP-7844_JVASP-8158_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.25_0.5_vasp,1.437089,0.7054563760757446,1.269
Interface-JVASP-7844_JVASP-8158_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.25_0.5_vasp,1.437089,0.7054563760757446,1.269
Interface-JVASP-1109_JVASP-1372_film_miller_0_0_1_sub_miller_0_0_1_film_thickness_16_subs_thickness_16_seperation_2.5_disp_0.05_0.3_vasp,0.10441,0.9977591037750244,0.0
Interface-JVASP-1408_JVASP-1192_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.3_0.05_vasp,1.260308,0.9248208999633789,0.0519
Interface-JVASP-1408_JVASP-1189_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_-0.05_-0.35_vasp,1.01579,0.2091698944568634,0.0002
Interface-JVASP-1327_JVASP-1183_film_miller_1_1_0_sub_miller_1_1_0_film_thickness_16_subs_thickness_16_seperation_2.5_disp_0.2_-0.4_vasp,3.20094,1.1092259883880615,0.7115
