name,sk_gap,alignn_gap,dft_gap
Surface-JVASP-15348_miller_1_1_0_thickness_16_VASP_PBE_noDP,0.0042,0.006856292486190796,0.012900000000000134
Surface-JVASP-63938_miller_1_1_0_thickness_16_VASP_PBE_noDP,0.0025,2.4064242839813232,0.027000000000000024
Surface-JVASP-7844_miller_1_1_0_thickness_16_VASP_PBE_noDP,4.1769,0.9997193813323975,2.5884
Surface-JVASP-8047_miller_1_1_0_thickness_16_VASP_PBE_noDP,4.2398,1.5401661396026611,1.9624000000000001
Surface-JVASP-8182_miller_1_1_0_thickness_16_VASP_PBE_noDP,2.9505,1.7037992477416992,2.0059
Surface-JVASP-85122_miller_1_1_0_thickness_16_VASP_PBE_noDP,3.3173,0.47177854180336,1.3068
Surface-JVASP-96_miller_0_0_1_thickness_16_VASP_PBE_noDP,1.0807,1.1022043228149414,0.018299999999999983
Surface-JVASP-8182_miller_1_1_0_thickness_16_VASP_PBE,2.9509,1.7038357257843018,2.0057
Surface-JVASP-85122_miller_1_1_0_thickness_16_VASP_PBE,3.3183,0.4799419343471527,1.3122
Surface-JVASP-96_miller_0_0_1_thickness_16_VASP_PBE,1.4886,1.1728830337524414,0.049900000000000055
Surface-JVASP-1327_miller_1_0_0_thickness_16_VASP_PBE_noDP,1.2483,1.6601872444152832,0.03389999999999993
Surface-JVASP-22685_miller_1_1_0_thickness_16_VASP_PBE_noDP,3.799,0.4149461090564728,1.4843000000000002
Surface-JVASP-35711_miller_1_1_0_thickness_16_VASP_PBE_noDP,1.5486,0.12582612037658691,0.9189
Surface-JVASP-36408_miller_0_0_1_thickness_16_VASP_PBE_noDP,0.0687,0.44876858592033386,0.039699999999999847
Surface-JVASP-36873_miller_0_0_1_thickness_16_VASP_PBE_noDP,0.0101,0.7351925373077393,0.04200000000000004
Surface-JVASP-7844_miller_1_1_0_thickness_16_VASP_PBE,4.1678,1.4183405637741089,2.5846999999999998
Surface-JVASP-8047_miller_1_1_0_thickness_16_VASP_PBE,4.3439,1.5371506214141846,1.8481999999999998
Surface-JVASP-1002_miller_0_0_1_thickness_16_VASP_R2SCAN,0.0361,0.6321237087249756,0.0040999999999999925
Surface-JVASP-1002_miller_1_1_0_thickness_16_VASP_R2SCAN,0.3161,0.998802900314331,0.0572
Surface-JVASP-816_miller_1_1_0_thickness_16_VASP_R2SCAN,0.0032,-0.0004178732633590698,0.015600000000000058
Surface-JVASP-963_miller_0_0_1_thickness_16_VASP_R2SCAN,0.002,-0.0022013187408447266,0.001100000000000101
Surface-JVASP-813_miller_1_1_0_thickness_16_VASP_R2SCAN,0.0264,0.009431570768356323,0.0008000000000001339
Surface-JVASP-14837_miller_1_1_0_thickness_16_VASP_R2SCAN,0.001,-0.007041729986667633,0.0027000000000000357
Surface-JVASP-890_miller_0_0_1_thickness_16_VASP_R2SCAN,0.0008,-0.001307845115661621,0.0121
Surface-JVASP-62940_miller_0_0_1_thickness_16_VASP_R2SCAN,3.909,4.162601947784424,4.4123
Surface-JVASP-8003_miller_1_1_0_thickness_16_VASP_R2SCAN,4.0464,1.1787079572677612,1.3723
Surface-JVASP-96_miller_1_1_1_thickness_16_VASP_R2SCAN,0.6455,0.989242434501648,0.014499999999999957
Surface-JVASP-133719_miller_0_0_1_thickness_16_VASP_R2SCAN,0.0119,1.4603327512741089,0.05800000000000005
Surface-JVASP-1327_miller_0_0_1_thickness_16_VASP_R2SCAN,1.2619,1.6584244966506958,0.08890000000000009
Surface-JVASP-8184_miller_0_0_1_thickness_16_VASP_R2SCAN,0.0069,1.1098723411560059,0.03510000000000002
Surface-JVASP-1177_miller_1_1_1_thickness_16_VASP_R2SCAN,0.876,0.05743885040283203,0.0746
Surface-JVASP-91_miller_1_1_1_thickness_16_VASP_R2SCAN,0.0006,4.176020622253418,0.12860000000000005
Surface-JVASP-8118_miller_1_1_0_thickness_16_VASP_R2SCAN,2.0935,0.45128026604652405,1.4833
Surface-JVASP-36403_miller_1_1_0_thickness_16_VASP_R2SCAN,0.4737,0.08564075827598572,0.021799999999999986
Surface-JVASP-30_miller_0_0_1_thickness_16_VASP_R2SCAN,2.6732,1.6262304782867432,0.011200000000000099
Surface-JVASP-1177_miller_1_1_0_thickness_16_VASP_PBE,0.6462,0.055869221687316895,0.07120000000000001
Surface-JVASP-1192_miller_0_0_1_thickness_16_VASP_PBE,1.2073,1.0450797080993652,0.034600000000000186
Surface-JVASP-1408_miller_0_0_1_thickness_16_VASP_PBE,0.8879,0.5324796438217163,0.002100000000000102
Surface-JVASP-30_miller_1_0_0_thickness_16_VASP_PBE,0.0058,1.02773916721344,0.008999999999999897
Surface-JVASP-36119_miller_1_1_0_thickness_16_VASP_PBE,2.1791,0.02751901000738144,0.9512
Surface-JVASP-37905_miller_1_1_0_thickness_16_VASP_PBE,1.1705,1.2609788179397583,1.145
Surface-JVASP-858_miller_1_0_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,0.0014,0.005270183086395264,0.0004999999999997229
Surface-JVASP-895_miller_1_0_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,1.5684,0.08216036856174469,0.6763
Surface-JVASP-816_miller_1_0_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,0.0038,0.01199331134557724,0.00010000000000021103
Surface-JVASP-993_miller_1_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,0.0022,-0.003314077854156494,0.013599999999999945
Surface-JVASP-816_miller_1_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,0.0049,0.0046591609716415405,0.014200000000000212
Surface-JVASP-993_miller_0_0_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,0.0093,-0.00025072693824768066,0.05909999999999993
