id,formula,pbe_pred,opt_pred,pbe_minus_opt
JVASP-94296_O_d_36,,-1.3973264694213867,-0.9098326563835144,-0.4874938130378723
JVASP-94296_C_a_0,,-1.3787957429885864,-0.9104612469673157,-0.46833449602127075
JVASP-53976_O_f_16,,-1.6889855861663818,-1.2694827318191528,-0.419502854347229
JVASP-51876_O_f_16,,-1.692657470703125,-1.2732508182525635,-0.4194066524505615
JVASP-94344_O_f_18,,-1.6009273529052734,-2.015946626663208,0.41501927375793457
JVASP-22523_O_c_32,,-1.7269153594970703,-1.3267203569412231,-0.40019500255584717
JVASP-664_S_h_16,,-1.2820543050765991,-0.8859500288963318,-0.39610427618026733
JVASP-664_Mo_e_0,,-1.2846640348434448,-0.8911706805229187,-0.3934933543205261
JVASP-60477_Ru_d_0,,-0.9754281640052795,-0.5864562392234802,-0.3889719247817993
JVASP-90143_O_c_24,,-2.0441200733184814,-1.6576999425888062,-0.3864201307296753
JVASP-22523_C_a_0,,-1.6650934219360352,-1.2809377908706665,-0.38415563106536865
JVASP-60497_Fe_c_0,,-1.0390241146087646,-0.6594399809837341,-0.3795841336250305
JVASP-60497_Cl_k_8,,-1.064212441444397,-0.6848332285881042,-0.3793792128562927
JVASP-6742_Fe_c_0,,-1.0392651557922363,-0.660188615322113,-0.3790765404701233
JVASP-94344_Mo_c_0,,-1.6095249652862549,-1.9851897954940796,0.3756648302078247
JVASP-60477_Cl_k_8,,-0.9473317265510559,-0.5745706558227539,-0.372761070728302
JVASP-13632_Ti_c_0,,-1.9852430820465088,-1.612764596939087,-0.3724784851074219
JVASP-13632_Cl_k_8,,-1.9952419996261597,-1.6288700103759766,-0.3663719892501831
JVASP-13600_Fe_c_4,,-1.8207281827926636,-1.470155119895935,-0.3505730628967285
JVASP-32_Al_c_0,,-3.018296241760254,-2.6696202754974365,-0.3486759662628174
JVASP-8065_O_f_24,,-2.082768201828003,-1.7628215551376343,-0.31994664669036865
JVASP-93342_O_f_24,,-2.0821304321289062,-1.7628540992736816,-0.3192763328552246
JVASP-18424_Cu_a_0,,-0.4453856647014618,-0.1307770311832428,-0.314608633518219
JVASP-771_Ti_a_0,,-1.6315670013427734,-1.3222476243972778,-0.3093193769454956
JVASP-8065_Ge_a_0,,-2.0517349243164062,-1.7453296184539795,-0.30640530586242676
JVASP-93342_Ge_a_0,,-2.0515494346618652,-1.7452616691589355,-0.3062877655029297
JVASP-8247_O_c_8,,-0.4997825026512146,-0.8059245944023132,0.30614209175109863
JVASP-37045_Al_b_3,,0.6940042972564697,0.39580443501472473,0.298199862241745
JVASP-25388_Rb_c_0,,0.3113914132118225,0.02046283334493637,0.29092857986688614
JVASP-95_S_b_16,,-0.918192982673645,-0.6286452412605286,-0.28954774141311646
JVASP-25114_K_a_0,,0.2926461100578308,0.005419708788394928,0.2872264012694359
JVASP-42465_Cr_a_0,,0.6132329702377319,0.32828542590141296,0.28494754433631897
JVASP-237_O_c_24,,-0.5206339359283447,-0.8047667145729065,0.28413277864456177
JVASP-792_S_e_12,,-1.6495447158813477,-1.3678910732269287,-0.28165364265441895
JVASP-1453_O_c_2,,-1.8880536556243896,-1.6065020561218262,-0.2815515995025635
JVASP-240_O_d_18,,-0.5187674760818481,-0.7982138991355896,0.27944642305374146
JVASP-237_Ni_a_0,,-0.46889758110046387,-0.7445979118347168,0.27570033073425293
JVASP-240_Ni_a_0,,-0.4417390525341034,-0.7174344062805176,0.2756953537464142
JVASP-5935_Ni_a_0,,-0.4494885504245758,-0.7222292423248291,0.2727406919002533
JVASP-8392_O_i_18,,-0.5230510830879211,-0.7956697940826416,0.27261871099472046
JVASP-12195_O_i_18,,-0.5230063199996948,-0.7955817580223083,0.2725754380226135
JVASP-234_O_c_18,,-0.5230692028999329,-0.7950242161750793,0.2719550132751465
JVASP-1954_Cl_b_8,,-0.6349444389343262,-0.36868607997894287,-0.2662583589553833
JVASP-12195_Ni_b_0,,-0.43264079093933105,-0.6968601942062378,0.26421940326690674
JVASP-100703_O_g_24,,-1.387911081314087,-1.1244041919708252,-0.2635068893432617
JVASP-104988_O_c_8,,-0.5085536241531372,-0.77154141664505,0.26298779249191284
JVASP-104_O_e_8,,-3.4987990856170654,-3.2365362644195557,-0.26226282119750977
JVASP-8248_O_c_8,,-0.5078925490379333,-0.7695080637931824,0.261615514755249
JVASP-8645_O_c_8,,-0.5084257125854492,-0.7693538665771484,0.2609281539916992
JVASP-8392_Ni_d_0,,-0.4380696713924408,-0.698614776134491,0.26054510474205017
JVASP-234_Ni_b_0,,-0.4380684792995453,-0.6983833312988281,0.26031485199928284
JVASP-234_Ni_a_9,,-0.43698549270629883,-0.6948018670082092,0.2578163743019104
JVASP-8392_Ni_a_9,,-0.4372326135635376,-0.694720447063446,0.25748783349990845
JVASP-12195_Ni_c_9,,-0.43830057978630066,-0.6922077536582947,0.253907173871994
JVASP-5944_S_h_18,,-0.949638843536377,-0.6980246901512146,-0.25161415338516235
JVASP-19989_S_b_12,,-0.6749947667121887,-0.42480266094207764,-0.2501921057701111
JVASP-1702_S_d_8,,-1.097480297088623,-0.8473411202430725,-0.25013917684555054
JVASP-37045_Ti_a_2,,0.41389942169189453,0.1649026870727539,0.24899673461914062
JVASP-54_Mo_d_0,,-1.1200525760650635,-0.8740929961204529,-0.2459595799446106
JVASP-5_O_f_4,,-3.4028804302215576,-3.164740562438965,-0.23813986778259277
JVASP-85876_La_a_0,,0.42962646484375,0.193649023771286,0.235977441072464
JVASP-8247_Ni_a_0,,-0.369685560464859,-0.6054574847221375,0.23577192425727844
JVASP-53976_C_a_0,,-1.4700719118118286,-1.2351818084716797,-0.23489010334014893
JVASP-1954_Ag_a_0,,-0.7362638711929321,-0.5022974610328674,-0.2339664101600647
JVASP-51876_C_a_0,,-1.468000888824463,-1.2344509363174438,-0.23354995250701904
JVASP-17864_P_b_4,,0.5789244174957275,0.8090221285820007,-0.2300977110862732
JVASP-14311_P_b_4,,0.5789244174957275,0.8090221285820007,-0.2300977110862732
JVASP-54_S_f_18,,-1.1344122886657715,-0.9043798446655273,-0.23003244400024414
JVASP-100703_In_c_0,,-1.296236276626587,-1.0722359418869019,-0.22400033473968506
JVASP-1201_Cl_c_8,,-0.5609983205795288,-0.33951306343078613,-0.22148525714874268
JVASP-25213_Kr_c_0,,0.2237369418144226,0.0029091015458106995,0.2208278402686119
JVASP-1702_Zn_a_0,,-1.092935562133789,-0.8775797486305237,-0.21535581350326538
JVASP-8645_Ni_b_0,,-0.3478885591030121,-0.5610967874526978,0.21320822834968567
JVASP-104988_Ni_a_0,,-0.33490777015686035,-0.5458278656005859,0.21092009544372559
JVASP-93956_Cr_a_0,,-1.8397104740142822,-2.048499584197998,0.20878911018371582
JVASP-94423_Cr_a_0,,-1.8414238691329956,-2.0498383045196533,0.20841443538665771
JVASP-8248_Ni_a_0,,-0.3388218283653259,-0.5395487546920776,0.2007269263267517
JVASP-789_Zr_a_0,,-1.1695805788040161,-1.36954927444458,0.19996869564056396
JVASP-37615_Nb_a_3,,0.23803135752677917,0.4363964796066284,-0.19836512207984924
JVASP-1405_Ca_a_0,,-3.2796428203582764,-3.0816915035247803,-0.1979513168334961
JVASP-25248_Xe_c_0,,0.20021161437034607,0.009317882359027863,0.1908937320113182
JVASP-37615_Ti_d_0,,0.2874980866909027,0.47178059816360474,-0.18428251147270203
JVASP-3717_Al_b_0,,0.036865636706352234,0.22110438346862793,-0.1842387467622757
JVASP-113_O_e_4,,-3.8003642559051514,-3.6211843490600586,-0.17917990684509277
JVASP-95_S_b_2,,-0.4555758833885193,-0.2780197262763977,-0.17755615711212158
JVASP-107385_Cr_b_0,,-1.4916536808013916,-1.6681674718856812,0.17651379108428955
JVASP-32_O_e_4,,-3.344540596008301,-3.168213367462158,-0.17632722854614258
JVASP-103152_O_c_2,,-1.0976526737213135,-0.9236478209495544,-0.17400485277175903
JVASP-8268_Co_a_0,,-0.9535000324249268,-0.7802577018737793,-0.17324233055114746
JVASP-18428_Cr_b_0,,-1.4990873336791992,-1.670652151107788,0.17156481742858887
JVASP-17252_Cr_b_0,,-1.4991796016693115,-1.6705948114395142,0.17141520977020264
JVASP-7678_Mg_a_0,,-1.1737086772918701,-1.3415497541427612,0.1678410768508911
JVASP-55158_Zr_c_0,,0.5039775371551514,0.33949583768844604,0.16448169946670532
JVASP-101260_O_c_2,,-1.6814988851547241,-1.5223289728164673,-0.15916991233825684
JVASP-42465_Ni_i_1,,0.7071987986564636,0.5483753681182861,0.1588234305381775
JVASP-93457_Mn_a_0,,-1.6374025344848633,-1.790993332862854,0.15359079837799072
JVASP-93460_Mn_a_0,,-1.643459677696228,-1.793218731880188,0.14975905418395996
JVASP-93954_Mn_a_0,,-1.6437243223190308,-1.7926274538040161,0.14890313148498535
