id,sk_gap,alignn_gap
agm003769282,0.001643,0.002489939332008362
agm001624792,0.001529,-0.003589421510696411
agm003192700,0.019716,0.0028361454606056213
agm001311652,0.003773,0.009261451661586761
agm001129235,0.000843,0.02428451180458069
agm001830312,0.020969,0.00011810660362243652
agm002634241,0.00083,0.006250560283660889
agm003471761,0.001278,0.0026818811893463135
agm001337121,0.014899,0.0008939951658248901
agm003263116,0.008676,0.03086945414543152
agm003434566,0.009563,0.002885580062866211
agm003435724,0.002361,0.0006764531135559082
agm003436025,0.000447,0.005554944276809692
agm003299314,0.003028,-0.003173828125
agm001232561,0.007301,-0.002306729555130005
agm002925880,0.003012,0.0020727217197418213
agm001130151,0.003479,0.00837688148021698
agm003178453,0.003047,-0.006275802850723267
agm003204379,4e-06,0.018327265977859497
agm002314062,0.011127,9.847432374954224e-05
agm002244919,0.003418,0.011283829808235168
agm001116564,0.000189,-0.00818634033203125
agm002565225,0.001261,0.4221547544002533
agm001137203,0.013323,-0.00824078917503357
agm003771400,0.003151,0.01721590757369995
agm001284048,0.008091,-0.003416895866394043
agm003186327,0.003958,0.0038636773824691772
agm001289539,1e-06,0.008390918374061584
agm001116647,0.001424,0.004180446267127991
agm001616933,5e-05,-0.01469123363494873
agm001121571,0.000412,-0.011327356100082397
agm001150793,0.004768,-0.00685284286737442
agm003169384,0.005732,-0.0026257336139678955
agm003557884,0.006018,-0.004041455686092377
agm002744567,0.001849,-0.00559571385383606
agm003157158,0.001351,-0.008060634136199951
agm002190662,0.002878,0.0018524527549743652
agm002249208,0.0035,0.020840443670749664
agm003435928,0.001399,0.0010613203048706055
agm002134934,0.000615,0.008301552385091782
agm001230266,0.000465,0.0023771673440933228
agm005020139,0.019004,0.03404077887535095
agm003157791,0.02072,0.017241328954696655
agm003262918,0.002494,-0.0014632418751716614
agm002305622,0.009708,0.04078267514705658
agm003186694,0.003497,0.009174924343824387
agm001235022,0.218875,0.04352852702140808
agm001620092,7.2e-05,0.0011255666613578796
agm003290417,0.000549,-0.009680770337581635
agm002164196,0.002094,-0.024585261940956116
agm003766977,0.000692,-0.007415160536766052
agm002749645,0.004261,0.01589342951774597
agm001150827,0.002474,-0.002822417765855789
agm001116552,0.002479,0.0012708604335784912
agm001217943,0.008187,0.01928308606147766
agm001304908,0.003633,0.009161427617073059
agm003258129,0.000959,0.01149749755859375
agm001115814,0.006402,0.007812485098838806
agm001135256,0.000467,0.001038283109664917
agm002354502,0.002008,0.007655054330825806
agm002216055,0.019126,1.0555121898651123
agm002187751,0.001562,0.004526257514953613
agm002170319,0.003489,0.0006875991821289062
agm002138670,0.01652,0.0003082156181335449
agm001829113,0.000236,-0.007404454052448273
agm003201841,0.006257,-0.0034194961190223694
agm001258419,0.016422,0.04677172005176544
agm002327186,0.003187,0.003321826457977295
agm002924978,0.007185,-0.03853338956832886
agm003614522,0.00988,0.006657540798187256
agm003157708,0.0034,0.02772330492734909
agm002268056,0.001633,0.007264047861099243
agm005108774,0.007441,0.0009924918413162231
agm003166093,0.00238,0.013402044773101807
agm001114282,0.007902,0.002367854118347168
agm002403920,0.001745,0.04152369871735573
agm002200467,0.001406,0.008872941136360168
agm002224424,0.000695,0.02424462139606476
agm001267704,0.012808,-4.197657108306885e-05
agm002218946,0.002197,-0.00024082139134407043
