id,formula,nsites,spg,e_form,dft_bandgap_eV,dft_bandgap_dir_eV,dos_ef_dft,sk_bandgap_eV
agm1000019119,Ag2F3,20,1,-1.239043,0.0,0.3079,7.4731236,1.1136846542358398
agm1000001360,Ag2N,6,11,1.5496794,0.0,0.2394,4.0328183,0.003597259521484375
agm1000007792,Ag2O,6,1,0.281086,0.0,0.031900000000000005,3.1050107,0.0197296142578125
agm1000000418,Ag2O,3,6,0.37179285,0.273,1.3519,0.9645336,1.3820195198059082
agm1000005613,Ag2O,6,6,0.80669296,0.0,0.0453,6.5589027,0.15622425079345703
agm1000001605,Ag2O3,5,1,-0.15858026,0.1668,0.5194,1.6220728,0.5983409881591797
agm1000002758,Ag2P,6,1,0.50429726,0.0,0.2659,1.1853225,0.09810543060302734
agm1000006597,Ag2S,6,11,0.2375368,1.3906,1.3906,-0.000649,2.493393898010254
agm1000013226,Ag2S,3,6,0.51999575,0.34640000000000004,0.34640000000000004,1.0565512,0.18370723724365234
agm1000018920,Ag2S3,20,9,-0.29287747000000003,0.0,0.058800000000000005,5.2803984,0.007988691329956055
agm1000003001,Ag2S3,5,6,0.4096934,0.27,0.30510000000000004,3.6696429999999998,0.009471893310546875
agm1000006669,Ag2Se,6,11,0.41420959999999996,1.4542000000000002,1.4542000000000002,-0.00034419999999999996,1.1906018257141113
agm1000004291,Ag2Se,3,6,0.5986004500000001,0.0,0.1008,2.5099735,0.14889097213745117
agm1000010014,Ag2Se3,10,63,0.17042203,0.0,0.2851,5.8995619999999995,0.3192481994628906
agm1000003014,Ag2Se3,5,6,0.38998568,1.3983,1.5228000000000002,-0.001325,2.064976692199707
agm1000008757,Ag2Te,6,11,0.44050208,1.4611,1.4611,-0.0001495,2.3879454135894775
agm1000013813,Ag2Te,3,10,0.6116187,0.6188,0.793,-0.128275,0.21839618682861328
agm1000013074,Ag2Te3,5,38,0.17692076,0.0,0.1288,4.9867554,0.061122894287109375
agm1000012106,Ag2Te3,10,1,0.19430636,0.40590000000000004,0.6241,0.18786049999999999,0.4792933464050293
agm1000018978,Ag3As,24,176,0.25113717,0.0,0.059000000000000004,12.686596,0.006440639495849609
agm1000010884,Ag3As,8,63,0.58549666,0.0,0.138,4.8577156,0.0032663345336914062
agm1000004191,Ag3As,4,6,0.8091431,0.0229,0.0229,2.3614693,0.4138169288635254
agm1000019885,Ag3N,8,4,1.2929618,0.2548,0.5694,3.5545847,0.18898916244506836
agm1000012814,Ag3N,4,6,1.3606508,0.0,0.9048,1.4933144999999999,0.5562314987182617
agm1000007522,Ag3P,8,11,0.7362455,0.1768,0.1768,1.1701489999999999,0.7016017436981201
agm1000013108,Ag3P,4,3,1.0454907,0.0,0.26530000000000004,2.8422815999999997,1.2012996673583984
agm1000008600,Ag4O3,14,6,0.12608281,0.0,0.0129,3.0586755,0.02902698516845703
agm1000015342,Ag4S3,7,6,0.25029933,0.0,0.0108,6.0424457,0.003879070281982422
agm1000015517,Ag4Te3,7,1,0.17951526,0.0,0.050800000000000005,2.605333,0.006975889205932617
agm1000018178,AgAs,12,1,0.32407838,0.5234,0.7156,-0.1819104,0.5062165260314941
agm1000018620,AgAs,12,170,0.40554014,0.0175,0.0175,3.905969,0.011163949966430664
agm1000011946,AgAs,8,4,0.434004,1.0499,1.3759000000000001,-0.025369299999999997,1.7462942600250244
agm1000011232,AgAs,8,10,0.57326895,0.0,0.0002,3.6544418,0.00016450881958007812
agm1000012717,AgAs,4,63,0.6355487,0.0,0.20470000000000002,1.6099913,0.26417994499206543
agm1000010159,AgAs,4,63,0.8373522999999999,0.0,0.023200000000000002,5.466657,0.03865194320678711
agm1000006927,AgAs,4,11,1.0687919,0.1018,0.30960000000000004,4.3641844,0.05471324920654297
agm1000009798,AgAs,4,191,1.3272054,0.38120000000000004,0.38120000000000004,3.1818671,8.106231689453125e-06
agm1000010094,AgBr,4,63,-0.07133162,2.8836,3.2723,0.0,3.406459093093872
agm1000010708,AgBr,8,36,0.18863338000000002,0.0,0.0067,5.6056349999999995,0.014142990112304688
agm1000016698,AgCl,12,143,-0.6752273400000001,2.3809,2.3809,0.0,4.047812461853027
agm1000006323,AgCl,12,11,-0.6511619,3.0029,3.0029,0.0,3.917191982269287
agm1000014218,AgCl,4,11,-0.6430167999999999,3.5069,3.5069,0.0,3.4895496368408203
agm1000005584,AgCl,6,6,-0.61895645,3.7131,3.7131,0.0,4.895474910736084
agm1000013122,AgCl,4,10,-0.51266944,3.1172,3.7279999999999998,0.0,4.244544982910156
agm1000006557,AgCl,8,11,-0.32442972000000003,1.6320999999999999,1.6320999999999999,-5.7400000000000006e-05,1.6336047649383545
agm1000000434,AgCl,6,1,-0.0920168,0.6418,0.6418,-0.0781814,1.2746562957763672
agm1000002934,AgCl2,6,1,-0.5934151999999999,1.6894,1.6894,0.0,2.678230047225952
agm1000010826,AgCl3,8,1,-0.56454265,0.7092,0.7094,-0.20160399999999998,1.295973300933838
agm1000019621,AgCl3,8,11,-0.46952456000000004,0.0,0.058100000000000006,13.4441185,1.2993998527526855
agm1000018037,AgF,18,1,-1.1018219,0.5077,0.686,-0.265192,0.5900149345397949
agm1000008109,AgF,12,2,-1.07465,1.2387000000000001,1.5642,-0.003662,1.405651569366455
agm1000006497,AgF,8,4,-1.0536357,1.2783,1.2783,-0.0021644999999999998,1.8558998107910156
agm1000009488,AgF,12,9,-1.0284042,1.2446,1.2446,-0.006140199999999999,1.2962074279785156
